trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
22510004000162,17:26:00,17:26:00,740012548,18,0,0
22510004000164,17:36:00,17:36:00,740012548,18,0,0
22510004000040,9:19:00,9:19:00,740012548,18,0,0
22510004000038,9:10:00,9:10:00,740012548,18,0,0
22510004000014,7:00:00,7:00:00,740012548,18,0,0
22510004000012,6:45:00,6:45:00,740012548,18,0,0
22510004000098,14:05:00,14:05:00,740012548,18,0,0
22510004000094,13:45:00,13:45:00,740012548,18,0,0
22510004000096,13:55:00,13:55:00,740012548,18,0,0
22510004000170,18:07:00,18:07:00,740012548,18,0,0
22510004000166,17:46:00,17:46:00,740012548,18,0,0
22510004000168,17:58:00,17:58:00,740012548,18,0,0
22510004000106,14:41:00,14:41:00,740012548,9,0,0
22510004000110,14:51:00,14:51:00,740012548,9,0,0
22510004000114,15:01:00,15:01:00,740012548,9,0,0
22510004000118,15:11:00,15:11:00,740012548,9,0,0
22510004000122,15:21:00,15:21:00,740012548,9,0,0
22510004000126,15:31:00,15:31:00,740012548,9,0,0
22510004000130,15:41:00,15:41:00,740012548,9,0,0
22510004000134,15:51:00,15:51:00,740012548,9,0,0
22510004000138,16:01:00,16:01:00,740012548,9,0,0
22510004000142,16:11:00,16:11:00,740012548,9,0,0
22510004000146,16:21:00,16:21:00,740012548,9,0,0
22510004000150,16:31:00,16:31:00,740012548,9,0,0
22510012000101,17:21:00,17:21:00,740012548,23,0,0
22510012000103,17:31:00,17:31:00,740012548,23,0,0
22510012000105,17:41:00,17:41:00,740012548,23,0,0
22510012000107,17:51:00,17:51:00,740012548,23,0,0
22510012000109,18:01:00,18:01:00,740012548,23,0,0
22510012000099,17:11:00,17:11:00,740012548,23,0,0
22510012000045,10:32:00,10:32:00,740012548,23,0,0
22510012000047,10:52:00,10:52:00,740012548,23,0,0
22510012000049,11:12:00,11:12:00,740012548,23,0,0
22510012000051,11:32:00,11:32:00,740012548,23,0,0
22510012000053,11:52:00,11:52:00,740012548,23,0,0
22510012000055,12:12:00,12:12:00,740012548,23,0,0
22510012000057,12:32:00,12:32:00,740012548,23,0,0
22510012000059,12:52:00,12:52:00,740012548,23,0,0
22510012000061,13:12:00,13:12:00,740012548,23,0,0
22510012000063,13:32:00,13:32:00,740012548,23,0,0
22510012000065,13:52:00,13:52:00,740012548,23,0,0
22510012000067,14:12:00,14:12:00,740012548,23,0,0
22510012000069,14:32:00,14:32:00,740012548,23,0,0
22510012000071,14:52:00,14:52:00,740012548,23,0,0
22510012000073,15:02:00,15:02:00,740012548,23,0,0
22510012000075,15:12:00,15:12:00,740012548,23,0,0
22510012000077,15:22:00,15:22:00,740012548,23,0,0
22510012000079,15:32:00,15:32:00,740012548,23,0,0
22510012000081,15:42:00,15:42:00,740012548,23,0,0
22510012000083,15:52:00,15:52:00,740012548,23,0,0
22510012000085,16:02:00,16:02:00,740012548,23,0,0
22510012000011,7:33:00,7:33:00,740012548,23,0,0
22510012000013,7:43:00,7:43:00,740012548,23,0,0
22510012000015,7:53:00,7:53:00,740012548,23,0,0
